Name,Year,Contribution,Image URL,Likely MCQ,Tip/Suggestion
Isaac Newton,1687,"Formulated the laws of motion and universal gravitation",https://upload.wikimedia.org/wikipedia/commons/3/39/GodfreyKneller-IsaacNewton-1689.jpg,"Q: Who formulated the laws of motion? A) Albert Einstein B) Isaac Newton C) Michael Faraday D) Niels Bohr (Ans: B)","Associate Newton with 'apple'—his laws of motion and gravitation were inspired by a falling apple."
Albert Einstein,1905,"Developed the theory of relativity ($E=mc^2$) and explained the photoelectric effect",https://upload.wikimedia.org/wikipedia/commons/d/d3/Albert_Einstein_Head.jpg,"Q: The equation $E=mc^2$ is associated with: A) Isaac Newton B) Albert Einstein C) J.J. Thomson D) Ernest Rutherford (Ans: B)","Remember Einstein with 'energy'—$E=mc^2$ links energy and mass."
Michael Faraday,1831,"Discovered electromagnetic induction",https://upload.wikimedia.org/wikipedia/commons/7/71/Michael_Faraday_1850s.jpg,"Q: Who discovered electromagnetic induction? A) Michael Faraday B) James Maxwell C) Heinrich Hertz D) Andre Ampere (Ans: A)","Link Faraday with 'field'—his work on electromagnetic fields led to generators and transformers."
James Clerk Maxwell,1865,"Formulated the classical theory of electromagnetic radiation",https://upload.wikimedia.org/wikipedia/commons/5/57/James_Clerk_Maxwell.png,"Q: Who unified electricity and magnetism into electromagnetic theory? A) Michael Faraday B) James Maxwell C) Nikola Tesla D) Thomas Edison (Ans: B)","Maxwell = 'maximum'—he gave the maximum contribution to electromagnetic theory."
Niels Bohr,1913,"Proposed the Bohr model of the atom with quantized energy levels",https://upload.wikimedia.org/wikipedia/commons/6/6d/Niels_Bohr.jpg,"Q: The scientist who proposed the model of the atom with electrons in discrete energy levels is: A) J.J. Thomson B) Ernest Rutherford C) Niels Bohr D) Werner Heisenberg (Ans: C)","Bohr sounds like 'bore'—his model bored into the atom’s structure with energy levels."
Ernest Rutherford,1911,"Discovered the atomic nucleus through the gold foil experiment",https://upload.wikimedia.org/wikipedia/commons/0/0e/Ernest_Rutherford.jpg,"Q: Who discovered the atomic nucleus? A) Niels Bohr B) Ernest Rutherford C) J.J. Thomson D) Albert Einstein (Ans: B)","Rutherford = 'ruthless'—he ruthlessly scattered alpha particles to find the nucleus."
J.J. Thomson,1897,"Discovered the electron and proposed the plum pudding model of the atom",https://upload.wikimedia.org/wikipedia/commons/c/c1/J.J_Thomson.jpg,"Q: The scientist who discovered the electron is: A) J.J. Thomson B) Ernest Rutherford C) Niels Bohr D) Robert Millikan (Ans: A)","Thomson = 'thom' sounds like 'atom'—he found the electron, a key part of the atom."
Heinrich Hertz,1887,"Confirmed the existence of electromagnetic waves",https://upload.wikimedia.org/wikipedia/commons/3/3b/Heinrich_Hertz.jpg,"Q: Who experimentally confirmed electromagnetic waves? A) James Maxwell B) Heinrich Hertz C) Michael Faraday D) Andre Ampere (Ans: B)","Hertz = 'Hz'—the unit of frequency, as he confirmed electromagnetic waves like radio waves."
Andre-Marie Ampere,1820,"Formulated Ampere’s law, foundational to electromagnetism",https://upload.wikimedia.org/wikipedia/commons/1/1f/Andre_Marie_Ampere.jpg,"Q: Ampere’s law in electromagnetism is named after: A) Michael Faraday B) Andre Ampere C) James Maxwell D) Heinrich Hertz (Ans: B)","Ampere = 'amp'—think of electric current, as his law relates current to magnetic fields."
Hans Christian Oersted,1820,"Discovered that electric currents produce magnetic fields",https://upload.wikimedia.org/wikipedia/commons/6/6a/Hans_Christian_Oersted.jpg,"Q: Who discovered that electric currents produce magnetic fields? A) Hans Oersted B) Andre Ampere C) Michael Faraday D) James Maxwell (Ans: A)","Oersted sounds like 'orsted'—think 'orbit' of magnetic fields around a current-carrying wire."
Wilhelm Rontgen,1895,"Discovered X-rays",https://upload.wikimedia.org/wikipedia/commons/e/e6/Wilhelm_Rontgen.jpg,"Q: The scientist who discovered X-rays is: A) Wilhelm Rontgen B) Marie Curie C) Ernest Rutherford D) J.J. Thomson (Ans: A)","Rontgen = 'rays'—he discovered X-rays, used in medical imaging."
Marie Curie,1898,"Discovered radioactivity along with Pierre Curie",https://upload.wikimedia.org/wikipedia/commons/5/5e/Marie_Curie.jpg,"Q: Who is credited with the discovery of radioactivity? A) Marie Curie B) Wilhelm Rontgen C) Ernest Rutherford D) Niels Bohr (Ans: A)","Curie = 'cure'—her work on radioactivity led to medical treatments like cancer therapy."
Robert Millikan,1909,"Measured the charge of an electron through the oil drop experiment",https://upload.wikimedia.org/wikipedia/commons/8/8d/Robert_Millikan.jpg,"Q: The charge of an electron was measured by: A) J.J. Thomson B) Robert Millikan C) Ernest Rutherford D) Niels Bohr (Ans: B)","Millikan = 'million'—his oil drop experiment measured a tiny charge, like a million small drops."
Max Planck,1900,"Introduced the quantum theory by proposing energy is emitted in quanta",https://upload.wikimedia.org/wikipedia/commons/3/3e/Max_Planck.jpg,"Q: Who proposed that energy is emitted in discrete packets called quanta? A) Max Planck B) Albert Einstein C) Niels Bohr D) Werner Heisenberg (Ans: A)","Planck = 'plank'—he laid the foundational plank of quantum theory."
Werner Heisenberg,1927,"Formulated the uncertainty principle in quantum mechanics",https://upload.wikimedia.org/wikipedia/commons/1/1a/Werner_Heisenberg.jpg,"Q: The uncertainty principle in quantum mechanics was proposed by: A) Max Planck B) Werner Heisenberg C) Albert Einstein D) Niels Bohr (Ans: B)","Heisenberg = 'hazy'—his uncertainty principle says you can’t be certain about position and momentum."
Galileo Galilei,1609,"Improved the telescope and made significant astronomical observations",https://upload.wikimedia.org/wikipedia/commons/d/d4/Justus_Sustermans_-_Portrait_of_Galileo_Galilei%2C_1636.jpg,"Q: Who improved the telescope and discovered the moons of Jupiter? A) Galileo Galilei B) Johannes Kepler C) Isaac Newton D) Albert Einstein (Ans: A)","Galileo = 'galaxy'—he explored the skies and discovered Jupiter’s moons."
Johannes Kepler,1609,"Formulated the laws of planetary motion",https://upload.wikimedia.org/wikipedia/commons/8/87/Johannes_Kepler.jpg,"Q: The laws of planetary motion were proposed by: A) Isaac Newton B) Johannes Kepler C) Galileo Galilei D) Albert Einstein (Ans: B)","Kepler = 'keeper'—he kept track of planetary orbits with his laws."
Christiaan Huygens,1656,"Proposed the wave theory of light",https://upload.wikimedia.org/wikipedia/commons/7/74/Christiaan_Huygens.jpg,"Q: Who proposed the wave theory of light? A) Christiaan Huygens B) Isaac Newton C) Thomas Young D) Albert Einstein (Ans: A)","Huygens = 'huge waves'—he proposed that light travels in waves."
Thomas Young,1801,"Demonstrated the wave nature of light through the double-slit experiment",https://upload.wikimedia.org/wikipedia/commons/4/4c/Thomas_Young.jpg,"Q: The double-slit experiment demonstrating light’s wave nature was conducted by: A) Thomas Young B) Christiaan Huygens C) Isaac Newton D) Albert Einstein (Ans: A)","Young = 'youth'—his youthful experiment showed light’s wave nature."
